"date","month","id_invoice","branch_location","customer","product","brand","total_product_sold","price_per_unit","total_revenue"
"2022-01-20","January","IN5997","Aceh","APOTEK TAPAK","ACYCLOVIR DUS","OGB & PH",1,1170,1170
"2022-01-20","January","IN6297","Kuningan","APOTEK MAJA","ALERGINE TABLET SALUT","ETIKAL",5,2338,11690
"2022-01-21","January","IN6155","Jakarta","KLINIK GM","AMPICILLIN","MARCKS",9,10691,96219
"2022-01-22","January","IN6144","Bandung","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","VNS",13,8701,113113
"2022-01-23","January","IN6317","Aceh","APOTEK TAPAK","AMPICILLIN","MARCKS",10,10691,106910
"2022-01-23","January","IN6125","Aceh","APOTEK TAPAK","AMPICILLIN","MARCKS",14,10691,149674
"2022-01-23","January","IN5980","Aceh","APOTEK TAPAK","AMPICILLIN","MARCKS",20,10691,213820
"2022-01-23","January","IN6318","Aceh","APOTEK TAPAK","AMPICILLIN","MARCKS",22,10691,235202
"2022-01-23","January","IN6289","Aceh","APOTEK TAPAK","AMPICILLIN","MARCKS",25,10691,267275
"2022-01-23","January","IN6251","Aceh","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","MARCKS",1,3992,3992
"2022-01-23","January","IN6190","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",2,1170,2340
"2022-01-23","January","IN6039","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",13,1170,15210
"2022-01-23","January","IN6215","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",14,1170,16380
"2022-01-23","January","IN6233","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",24,1170,28080
"2022-01-23","January","IN6284","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",76,1170,88920
"2022-01-23","January","IN6028","Bandung","APOTEK MERDEKA","ACYCLOVIR DUS","OGB & PH",98,1170,114660
"2022-01-23","January","IN6052","Bekasi","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","OGB & PH",5,2819,14095
"2022-01-23","January","IN6210","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",4,4592,18368
"2022-01-23","January","IN6311","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",7,4592,32144
"2022-01-23","January","IN6307","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",14,4592,64288
"2022-01-23","January","IN6308","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",67,4592,307664
"2022-01-23","January","IN6216","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",98,4592,450016
"2022-01-23","January","IN6217","Padang","APOTEK SAHABAT","AMPICILLIN","VNS",5,5781,28905
"2022-01-23","January","IN6086","Padang","APOTEK SAHABAT","AMPICILLIN","VNS",14,5781,80934
"2022-01-23","January","IN6183","Padang","APOTEK SAHABAT","AMPICILLIN","VNS",25,5781,144525
"2022-01-23","January","IN6202","Padang","APOTEK SAHABAT","AMPICILLIN","VNS",34,5781,196554
"2022-01-23","January","IN6286","Padang","APOTEK SAHABAT","AMPICILLIN","VNS",120,5781,693720
"2022-01-23","January","IN6280","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",1,5648,5648
"2022-01-23","January","IN6065","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",4,5648,22592
"2022-01-23","January","IN5991","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",24,5648,135552
"2022-01-23","January","IN6221","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",25,5648,141200
"2022-01-23","January","IN6242","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",44,5648,248512
"2022-01-23","January","IN6220","Tangerang","KLINIK SAHABAT","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",48,5648,271104
"2022-01-25","January","IN6089","Padang","APOTEK SAHABAT","ERGOTAMINE COFFEINE","ETIKAL",9,4592,41328
"2022-01-27","January","IN6205","Bekasi","APOTEK SINAR JAYA","ACYCLOVIR DUS","OGB & PH",8,1170,9360
"2022-01-27","January","IN6238","Bekasi","APOTEK SINAR JAYA","ACYCLOVIR DUS","OGB & PH",9,1170,10530
"2022-01-27","January","IN6062","Bekasi","APOTEK SINAR JAYA","ACYCLOVIR DUS","OGB & PH",12,1170,14040
"2022-01-27","January","IN6113","Bekasi","APOTEK SINAR JAYA","ACYCLOVIR DUS","OGB & PH",12,1170,14040
"2022-01-27","January","IN6306","Bekasi","APOTEK SINAR JAYA","ACYCLOVIR DUS","OGB & PH",45,1170,52650
"2022-01-27","January","IN6118","Jakarta","KLINIK GM","AMPICILLIN","MARCKS",19,10691,203129
"2022-01-27","January","IN6146","Jakarta","KLINIK GM","AMPICILLIN","MARCKS",25,10691,267275
"2022-01-27","January","IN6058","Jakarta","KLINIK GM","AMPICILLIN","MARCKS",34,10691,363494
"2022-01-27","January","IN6124","Jakarta","KLINIK GM","AMPICILLIN","MARCKS",95,10691,1015645
"2022-01-27","January","IN6074","Jakarta","KLINIK GM","AMPICILLIN","MARCKS",98,10691,1047718
"2022-01-27","January","IN6095","Kuningan","APOTEK MAJA","AMBROXOL HC","VNS",5,5781,28905
"2022-01-27","January","IN6131","Kuningan","APOTEK MAJA","AMBROXOL HC","VNS",10,5781,57810
"2022-01-27","January","IN6066","Kuningan","APOTEK MAJA","AMBROXOL HC","VNS",12,5781,69372
"2022-01-27","January","IN6228","Kuningan","APOTEK MAJA","AMBROXOL HC","VNS",12,5781,69372
"2022-01-27","January","IN6036","Kuningan","APOTEK MAJA","AMBROXOL HC","VNS",23,5781,132963
"2022-01-27","January","IN6327","Kuningan","APOTEK MAJA","AMBROXOL HC","VNS",25,5781,144525
"2022-01-27","January","IN6258","Lampung","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",1,5648,5648
"2022-01-27","January","IN6003","Lampung","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",9,5648,50832
"2022-01-27","January","IN6188","Lampung","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",10,5648,56480
"2022-01-27","January","IN6024","Lampung","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",12,5648,67776
"2022-01-27","January","IN6299","Lampung","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",12,5648,67776
"2022-01-27","January","IN6173","Tangerang","KLINIK SAHABAT","ACYCLOVIR DUS","ETIKAL",12,4592,55104
"2022-01-27","January","IN6103","Tangerang","KLINIK SAHABAT","ACYCLOVIR DUS","ETIKAL",15,4592,68880
"2022-01-27","January","IN6161","Tangerang","KLINIK SAHABAT","ACYCLOVIR DUS","ETIKAL",24,4592,110208
"2022-01-27","January","IN6219","Tangerang","KLINIK SAHABAT","ACYCLOVIR DUS","ETIKAL",34,4592,156128
"2022-01-27","January","IN6136","Tangerang","KLINIK SAHABAT","ACYCLOVIR DUS","ETIKAL",78,4592,358176
"2022-01-28","January","IN6247","Aceh","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","OGB & PH",10,2819,28190
"2022-01-28","January","IN6064","Aceh","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","OGB & PH",10,2819,28190
"2022-01-28","January","IN6070","Aceh","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","OGB & PH",23,2819,64837
"2022-01-28","January","IN6184","Aceh","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","OGB & PH",25,2819,70475
"2022-01-28","January","IN6116","Aceh","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","OGB & PH",67,2819,188873
"2022-01-28","January","IN6200","Bandung","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","VNS",5,8701,43505
"2022-01-28","January","IN6162","Bandung","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","VNS",12,8701,104412
"2022-01-28","January","IN6230","Bandung","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","VNS",14,8701,121814
"2022-01-28","January","IN6246","Bandung","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","VNS",34,8701,295834
"2022-01-28","January","IN5981","Bandung","APOTEK MERDEKA","TRAMADOL KAPSUL 50 MG","VNS",76,8701,661276
"2022-01-28","January","IN6292","Bekasi","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","MARCKS",10,3992,39920
"2022-01-28","January","IN6172","Bekasi","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","MARCKS",12,3992,47904
"2022-01-28","January","IN6013","Bekasi","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","MARCKS",25,3992,99800
"2022-01-28","January","IN6053","Bekasi","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","MARCKS",44,3992,175648
"2022-01-28","January","IN6314","Bekasi","APOTEK SINAR JAYA","ALERGINE TABLET SALUT","MARCKS",45,3992,179640
"2022-01-28","January","IN6029","Jakarta","KLINIK GM","PARACETAMOL","SLCYL",4,6940,27760
"2022-01-28","January","IN6049","Jakarta","KLINIK GM","PARACETAMOL","SLCYL",9,6940,62460
"2022-01-28","January","IN6119","Jakarta","KLINIK GM","PARACETAMOL","SLCYL",14,6940,97160
"2022-01-28","January","IN6199","Jakarta","KLINIK GM","PARACETAMOL","SLCYL",25,6940,173500
"2022-01-28","January","IN6262","Jakarta","KLINIK GM","PARACETAMOL","SLCYL",67,6940,464980
"2022-01-28","January","IN6303","Jakarta","KLINIK GM","PARACETAMOL","SLCYL",95,6940,659300
"2022-01-28","January","IN6325","Padang","APOTEK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",9,2338,21042
"2022-01-28","January","IN6167","Padang","APOTEK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",12,2338,28056
"2022-01-28","January","IN6214","Padang","APOTEK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",21,2338,49098
"2022-01-28","January","IN6141","Padang","APOTEK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",25,2338,58450
"2022-01-28","January","IN6253","Padang","APOTEK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",34,2338,79492
"2022-01-30","January","IN5982","Bekasi","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","OGB & PH",5,2819,14095
"2022-01-30","January","IN6208","Bekasi","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","OGB & PH",8,2819,22552
"2022-01-30","January","IN6281","Bekasi","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","OGB & PH",10,2819,28190
"2022-01-30","January","IN6170","Bekasi","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","OGB & PH",14,2819,39466
"2022-01-30","January","IN6122","Bekasi","APOTEK SINAR JAYA","KETOCONAZOLE TABLET 200 MG","OGB & PH",21,2819,59199
"2022-01-30","January","IN6083","Jakarta","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","MARCKS",2,3992,7984
"2022-01-30","January","IN6099","Jakarta","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","MARCKS",5,3992,19960
"2022-01-30","January","IN6245","Jakarta","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","MARCKS",34,3992,135728
"2022-01-30","January","IN6038","Jakarta","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","MARCKS",98,3992,391216
"2022-01-30","January","IN6248","Jakarta","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","MARCKS",100,3992,399200
"2022-01-30","January","IN6025","Kuningan","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","VNS",7,8701,60907
"2022-01-30","January","IN6256","Kuningan","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","VNS",12,8701,104412
"2022-01-30","January","IN6305","Kuningan","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","VNS",14,8701,121814
"2022-01-30","January","IN6176","Kuningan","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","VNS",18,8701,156618
"2022-01-30","January","IN6104","Kuningan","APOTEK MAJA","TRAMADOL KAPSUL 50 MG","VNS",45,8701,391545
"2022-01-30","January","IN6323","Lampung","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","SLCYL",6,6940,41640
"2022-01-30","January","IN6008","Lampung","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","SLCYL",12,6940,83280
"2022-01-30","January","IN6278","Lampung","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","SLCYL",14,6940,97160
"2022-01-30","January","IN6279","Lampung","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","SLCYL",20,6940,138800
"2022-01-30","January","IN6108","Lampung","KLINIK DR. ANDRI","TRAMADOL KAPSUL 50 MG","SLCYL",21,6940,145740
"2022-01-30","January","IN6276","Tangerang","KLINIK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",1,2338,2338
"2022-01-30","January","IN6163","Tangerang","KLINIK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",5,2338,11690
"2022-01-30","January","IN6235","Tangerang","KLINIK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",10,2338,23380
"2022-01-30","January","IN6287","Tangerang","KLINIK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",17,2338,39746
"2022-01-30","January","IN6107","Tangerang","KLINIK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",24,2338,56112
"2022-01-30","January","IN6240","Tangerang","KLINIK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",48,2338,112224
"2022-01-31","January","IN6040","Aceh","APOTEK TAPAK","ACYCLOVIR DUS","OGB & PH",10,1170,11700
"2022-01-31","January","IN6186","Aceh","APOTEK TAPAK","ACYCLOVIR DUS","OGB & PH",18,1170,21060
"2022-01-31","January","IN6321","Aceh","APOTEK TAPAK","ACYCLOVIR DUS","OGB & PH",22,1170,25740
"2022-01-31","January","IN6196","Aceh","APOTEK TAPAK","ACYCLOVIR DUS","OGB & PH",45,1170,52650
"2022-01-31","January","IN6241","Aceh","APOTEK TAPAK","ACYCLOVIR DUS","OGB & PH",79,1170,92430
"2022-01-31","January","IN6326","Bandung","APOTEK MERDEKA","AMBROXOL HC","VNS",4,5781,23124
"2022-01-31","January","IN6130","Bandung","APOTEK MERDEKA","AMBROXOL HC","VNS",5,5781,28905
"2022-01-31","January","IN6322","Bandung","APOTEK MERDEKA","AMBROXOL HC","VNS",17,5781,98277
"2022-01-31","January","IN6195","Bandung","APOTEK MERDEKA","AMBROXOL HC","VNS",67,5781,387327
"2022-01-31","January","IN6042","Bandung","APOTEK MERDEKA","AMBROXOL HC","VNS",67,5781,387327
"2022-01-31","January","IN6191","Bekasi","APOTEK SINAR JAYA","AMPICILLIN","MARCKS",4,10691,42764
"2022-01-31","January","IN6015","Bekasi","APOTEK SINAR JAYA","AMPICILLIN","MARCKS",5,10691,53455
"2022-01-31","January","IN6152","Bekasi","APOTEK SINAR JAYA","AMPICILLIN","MARCKS",10,10691,106910
"2022-01-31","January","IN6102","Bekasi","APOTEK SINAR JAYA","AMPICILLIN","MARCKS",11,10691,117601
"2022-01-31","January","IN6244","Bekasi","APOTEK SINAR JAYA","AMPICILLIN","MARCKS",21,10691,224511
"2022-01-31","January","IN6263","Bekasi","APOTEK SINAR JAYA","AMPICILLIN","MARCKS",130,10691,1389830
"2022-01-31","January","IN6175","Jakarta","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",18,5648,101664
"2022-01-31","January","IN6048","Jakarta","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",25,5648,141200
"2022-01-31","January","IN6079","Jakarta","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",34,5648,192032
"2022-01-31","January","IN6050","Jakarta","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",34,5648,192032
"2022-01-31","January","IN6203","Jakarta","KLINIK GM","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",100,5648,564800
"2022-01-31","January","IN6068","Padang","APOTEK SAHABAT","ERGOTAMINE COFFEINE","ETIKAL",6,4592,27552
"2022-01-31","January","IN6148","Padang","APOTEK SAHABAT","ERGOTAMINE COFFEINE","ETIKAL",9,4592,41328
"2022-01-31","January","IN6045","Padang","APOTEK SAHABAT","ERGOTAMINE COFFEINE","ETIKAL",21,4592,96432
"2022-01-31","January","IN6255","Padang","APOTEK SAHABAT","ERGOTAMINE COFFEINE","ETIKAL",22,4592,101024
"2022-01-31","January","IN6226","Padang","APOTEK SAHABAT","ERGOTAMINE COFFEINE","ETIKAL",23,4592,105616
"2022-02-01","February","IN6072","Aceh","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","MARCKS",1,3992,3992
"2022-02-01","February","IN6005","Aceh","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","MARCKS",12,3992,47904
"2022-02-01","February","IN6063","Aceh","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","MARCKS",12,3992,47904
"2022-02-01","February","IN6300","Aceh","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","MARCKS",22,3992,87824
"2022-02-01","February","IN6128","Aceh","APOTEK TAPAK","TETRACYCLINE KAPSUL 250 MG","MARCKS",79,3992,315368
"2022-02-01","February","IN6120","Bandung","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","OGB & PH",14,2819,39466
"2022-02-01","February","IN6259","Bandung","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","OGB & PH",19,2819,53561
"2022-02-01","February","IN6054","Bandung","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","OGB & PH",34,2819,95846
"2022-02-01","February","IN6243","Bandung","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","OGB & PH",67,2819,188873
"2022-02-01","February","IN6320","Bandung","APOTEK MERDEKA","KETOCONAZOLE TABLET 200 MG","OGB & PH",67,2819,188873
"2022-02-01","February","IN5994","Kuningan","APOTEK MAJA","ALERGINE TABLET SALUT","ETIKAL",12,2338,28056
"2022-02-01","February","IN6134","Kuningan","APOTEK MAJA","ALERGINE TABLET SALUT","ETIKAL",12,2338,28056
"2022-02-01","February","IN6211","Kuningan","APOTEK MAJA","ALERGINE TABLET SALUT","ETIKAL",18,2338,42084
"2022-02-01","February","IN6266","Kuningan","APOTEK MAJA","ALERGINE TABLET SALUT","ETIKAL",34,2338,79492
"2022-02-01","February","IN6084","Kuningan","APOTEK MAJA","ALERGINE TABLET SALUT","ETIKAL",67,2338,156646
"2022-02-01","February","IN6274","Padang","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","VNS",8,8701,69608
"2022-02-01","February","IN6185","Padang","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","VNS",9,8701,78309
"2022-02-01","February","IN6301","Padang","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","VNS",12,8701,104412
"2022-02-01","February","IN6269","Padang","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","VNS",12,8701,104412
"2022-02-01","February","IN6060","Padang","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","VNS",22,8701,191422
"2022-02-01","February","IN6017","Padang","APOTEK SAHABAT","TRAMADOL KAPSUL 50 MG","VNS",23,8701,200123
"2022-02-01","February","IN6293","Tangerang","KLINIK SAHABAT","PARACETAMOL","SLCYL",4,6940,27760
"2022-02-01","February","IN6267","Tangerang","KLINIK SAHABAT","PARACETAMOL","SLCYL",8,6940,55520
"2022-02-01","February","IN6291","Tangerang","KLINIK SAHABAT","PARACETAMOL","SLCYL",11,6940,76340
"2022-02-01","February","IN6023","Tangerang","KLINIK SAHABAT","PARACETAMOL","SLCYL",15,6940,104100
"2022-02-01","February","IN6133","Tangerang","KLINIK SAHABAT","PARACETAMOL","SLCYL",78,6940,541320
"2022-02-02","February","IN6254","Lampung","KLINIK DR. ANDRI","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","SLCYL",12,5648,67776
"2022-02-03","February","IN6171","Aceh","APOTEK TAPAK","KETOCONAZOLE TABLET 200 MG","OGB & PH",25,2819,70475
"2022-02-04","February","IN6002","Kuningan","APOTEK MAJA","ERGOTAMINE COFFEINE","ETIKAL",14,4592,64288
"2022-02-05","February","IN6261","Jakarta","KLINIK GM","TETRACYCLINE KAPSUL 250 MG","MARCKS",24,3992,95808
"2022-02-06","February","IN6088","Bandung","APOTEK MERDEKA","AMBROXOL HC","VNS",10,5781,57810
"2022-02-07","February","IN6181","Tangerang","KLINIK SAHABAT","PARACETAMOL","SLCYL",130,6940,902200
"2022-02-08","February","IN6135","Bekasi","APOTEK SINAR JAYA","ACYCLOVIR DUS","OGB & PH",12,1170,14040
"2022-02-09","February","IN5988","Padang","APOTEK SAHABAT","ALERGINE TABLET SALUT","ETIKAL",10,2338,23380
